date,open,high,low,close,average_price,day_variation,timeHigh,timeLow,volume,marketCap,circulatingSupply
2025-07-22,117426.5,120269.97,116233.23,119995.42,118251.6,2.19%,23:20:00,01:19:00,79217583118.49,2387475839645.87,19896056.0
2025-07-21,117306.47,119671.56,116584.4,117439.54,118127.98,0.11%,07:31:00,00:24:00,69820091744.15,2336270166954.78,19895596.0
2025-07-20,117944.11,118865.03,116550.14,117300.79,117707.58,-0.55%,16:06:00,22:19:00,57515447231.38,2333823422030.29,19895096.0
2025-07-19,117998.13,118541.4,117388.41,117939.98,117964.9,-0.05%,11:10:00,21:27:00,47564562764.75,2346457480606.41,19894656.0
2025-07-18,119284.11,120851.92,116925.98,118003.22,118888.95,-1.07%,06:03:00,20:39:00,77945799784.74,2347478699402.93,19894203.0
2025-07-17,118738.51,120999.61,117508.22,119289.84,119253.92,0.46%,21:26:00,12:31:00,72363841798.42,2373010088202.67,19893765.0
2025-07-16,117777.19,120065.52,117064.82,118738.51,118565.17,0.82%,21:04:00,02:38:00,72162029070.46,2362105115509.25,19893337.0
2025-07-15,119853.85,119935.56,115765.69,117777.19,117850.62,-1.73%,00:29:00,14:58:00,98321661180.6,2342931256280.44,19892912.0
2025-07-14,119115.79,123091.61,118959.2,119849.71,121025.4,0.62%,07:40:00,01:32:00,181746419401.06,2384182852789.83,19892418.0
2025-07-13,117432.2,119449.57,117265.44,119116.12,118357.5,1.43%,19:33:00,00:19:00,49021091807.15,2369444812889.26,19891946.0
2025-07-12,117530.71,118219.9,116977.02,117435.23,117598.46,-0.08%,09:55:00,15:55:00,45524560304.01,2335905558930.53,19891525.0
2025-07-11,115986.23,118856.47,115245.69,117516.99,117051.08,1.32%,09:38:00,00:28:00,86928361084.93,2337810344520.96,19891059.0
2025-07-10,111329.2,116608.78,110660.75,115987.21,113634.76,4.18%,21:58:00,13:45:00,95911605727.89,2307032090295.36,19890568.0
2025-07-09,108950.28,111925.38,108357.68,111326.55,110141.53,2.18%,19:56:00,04:27:00,57927418064.83,2214343274520.85,19890050.0
2025-07-08,108298.23,109198.97,107499.56,108950.28,108349.26,0.6%,13:47:00,02:19:00,44282204126.95,2166970209725.65,19889534.0
2025-07-07,109235.33,109710.25,107527.06,108299.85,108618.66,-0.86%,03:28:00,18:34:00,45415696597.48,2153955280582.39,19889109.0
2025-07-06,108231.18,109731.63,107847.02,109232.07,108789.33,0.92%,21:32:00,10:03:00,36746020463.25,2172541130547.62,19888631.0
2025-07-05,108015.84,108381.34,107842.28,108231.18,108111.81,0.2%,04:31:00,02:34:00,30615537519.57,2152514555350.06,19888118.0
2025-07-04,109635.66,109751.99,107296.38,108034.34,108524.18,-1.46%,01:36:00,19:32:00,42616442655.9,2148181204989.38,19887650.0
2025-07-03,108845.01,110541.46,108605.8,109647.98,109573.63,0.74%,13:58:00,02:44:00,50494742269.78,2180339952810.43,19887143.0
2025-07-02,105703.1,109763.65,105157.4,108859.32,107460.52,2.99%,17:25:00,01:18:00,56248657736.96,2164564307569.28,19886665.0
2025-07-01,107144.38,107550.68,105270.23,105698.28,106410.45,-1.35%,01:25:00,20:02:00,44110692246.89,2102033618558.69,19886206.0
2025-06-30,108383.44,108798.79,106759.65,107135.33,107779.22,-1.15%,01:46:00,15:19:00,42064804589.76,2130649407200.56,19885778.0
2025-06-29,107327.82,108526.31,107230.11,108385.57,107878.21,0.99%,12:01:00,02:06:00,35534874438.25,2155239518940.18,19885321.0
2025-06-28,107090.55,107567.88,106883.97,107327.7,107225.92,0.22%,17:52:00,01:39:00,30037708334.64,2134192283383.46,19884800.0
2025-06-27,106954.92,107772.47,106449.99,107088.43,107111.23,0.12%,07:21:00,14:36:00,45353692674.51,2129424241709.23,19884334.0
2025-06-26,107375.07,108305.54,106666.35,106960.0,107485.94,-0.39%,03:07:00,15:34:00,43891990612.71,2126689663377.11,19883981.0
